Indicator Name,Value
"Inward Equity Positions (Net), Derived",1700000
"Inward Equity Positions (Net), Derived",1610000
"Inward Equity Positions (Net), Derived",3638456.59163987
"Inward Equity Positions (Net), Derived",3870000
"Inward Equity Positions (Net), Derived",3660000
"Inward Equity Positions (Net), Derived",4150000
"Inward Equity Positions (Net), Derived",3330000
"Inward Equity Positions (Net), Derived",2220000
"Inward Equity Positions (Net), Derived",1460000
"Inward Equity Positions (Net), Derived",-500000
"Outward Debt Instruments Assets Positions (Gross), Derived",3970000
"Outward Debt Instruments Assets Positions (Gross), Derived",4640000
"Outward Debt Instruments Assets Positions (Gross), Derived",7310000
"Outward Debt Instruments Assets Positions (Gross), Derived",12520000
"Outward Debt Instruments Assets Positions (Gross), Derived",15751639.8713826
"Outward Debt Instruments Assets Positions (Gross), Derived",30780000
"Outward Debt Instruments Assets Positions (Gross), Derived",218470000
"Outward Debt Instruments Assets Positions (Gross), Derived",278190000
"Outward Debt Instruments Assets Positions (Gross), Derived",304990000
"Outward Debt Instruments Assets Positions (Gross), Derived",396270000
"Outward Debt Instruments Assets Positions (Gross), Derived",416930000
"Outward Debt Instruments Assets Positions (Gross), Derived",619130000
"Outward Debt Instruments Positions (Net), Derived",-1430000
"Outward Debt Instruments Positions (Net), Derived",-2200000
"Outward Debt Instruments Positions (Net), Derived",7170000
"Outward Debt Instruments Positions (Net), Derived",-14700000
"Outward Debt Instruments Positions (Net), Derived",5831511.25401929
"Outward Debt Instruments Positions (Net), Derived",-62510000
"Outward Debt Instruments Positions (Net), Derived",125660000
"Outward Debt Instruments Positions (Net), Derived",165280000
"Outward Debt Instruments Positions (Net), Derived",289410000
"Outward Debt Instruments Positions (Net), Derived",337990000
"Outward Debt Instruments Positions (Net), Derived",311550000
"Outward Debt Instruments Positions (Net), Derived",515820000
"Outward Debt Positions (Net): Resident Financial Intermediaries, Derived",560000
"Outward Debt Positions (Net): Resident Financial Intermediaries, Derived",180000
"Outward Debt Positions (Net): Resident Financial Intermediaries, Derived",-7860000
